moped_component_id,substantial_completion_date,pre_annualized_crash_rate,post_annualized_crash_rate,delta_crash_rate,pre_annualized_fatal_crash_rate,post_annualized_fatal_crash_rate,delta_fatal_crash_rate,pre_annualized_injury_rate,post_annualized_injury_rate,delta_injury_rate,pre_annualized_death_rate,post_annualized_death_rate,delta_death_rate,pre_annualized_cost,post_annualized_cost,delta_comp_cost
1350,2018-11-29 06:00:00+00:00,0.22921674082348584,0.34573880667655316,0.11652206585306732,0.0,0.005762313444609219,0.005762313444609219,0.14211437931056123,0.2650664184520241,0.12295203914146288,0.0,0.005762313444609219,0.005762313444609219,80588.02173872116,154556.77121130849,73968.74947258733
1351,2018-10-01 05:00:00+00:00,0.2963029443337805,0.43065002210729064,0.13434707777351013,0.0,0.0,0.0,0.1660318222559977,0.43065002210729064,0.264618199851293,0.0,0.0,0.0,75138.33974588351,150259.73271353863,75121.39296765512
1352,2018-08-15 05:00:00+00:00,0.4815160670145564,0.3905430892377148,-0.0909729777768416,0.0,0.0,0.0,0.1605053556715188,0.17357470632787325,0.01306935065635445,0.0,0.0,0.0,86512.38670694864,86917.53419368253,405.14748673388385
1353,2018-08-15 05:00:00+00:00,0.22330202197102372,0.39727355950945825,0.17397153753843453,0.006978188186594491,0.0,-0.006978188186594491,0.10467282279891738,0.31781884760756657,0.2131460248086492,0.006978188186594491,0.0,-0.006978188186594491,64059.76755293743,116599.78971602599,52540.02216308856
1354,2018-09-11 05:00:00+00:00,0.2591897206071499,0.3610303599862858,0.1018406393791359,0.0,0.0,0.0,0.15273679964349904,0.27194494648317635,0.11920814683967731,0.0,0.0,0.0,70127.01878177199,108037.16304940257,37910.14426763059
1357,2019-07-11 05:00:00+00:00,0.19431206082503935,0.4310794197196951,0.23676735889465575,0.02428900760312992,0.0,-0.02428900760312992,0.1214450380156496,0.21553970985984755,0.09409467184419795,0.02428900760312992,0.0,-0.02428900760312992,110636.42963225678,77702.06540447504,-32934.36422778174
1358,2019-07-11 05:00:00+00:00,0.2380706661959208,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,24283.20795198392,NA,NA
1360,2019-07-11 05:00:00+00:00,0.2912195608119332,3.2098132552178686,2.9185936944059354,0.0,0.0,0.0,0.2912195608119332,0.0,-0.2912195608119332,0.0,0.0,0.0,90132.45407129332,654801.9040644453,564669.4499931519
1363,2019-07-11 05:00:00+00:00,0.21401740404234168,0.40318896128784976,0.18917155724550808,0.0,0.0,0.0,0.061147829726383336,0.40318896128784976,0.3420411315614664,0.0,0.0,0.0,29840.14090647507,317040.9198926792,287200.7789862041
1364,2019-07-11 05:00:00+00:00,0.31535777242148433,NA,NA,0.0,NA,NA,0.31535777242148433,NA,NA,0.0,NA,NA,121728.10015469296,NA,NA
1365,2019-07-11 05:00:00+00:00,0.23551221084871443,NA,NA,0.0,NA,NA,0.23551221084871443,NA,NA,0.0,NA,NA,74892.88304989118,NA,NA
1366,2019-07-11 05:00:00+00:00,0.2168551232318536,0.3977494441671582,0.18089432093530458,0.0,0.0,0.0,0.18714894196721613,0.23864966650029493,0.0515007245330788,0.0,0.0,0.0,118233.57205138363,123103.45296973546,4869.8809183518315
1367,2019-07-11 05:00:00+00:00,0.2264989361279004,0.4505885510962871,0.2240896149683867,0.0,0.00834423242770902,0.00834423242770902,0.2850323690598297,0.3921789241023239,0.10714655504249421,0.0,0.00834423242770902,0.00834423242770902,114862.95486737815,255467.02000673936,140604.0651393612
1368,2019-07-11 05:00:00+00:00,0.21125087702749135,0.4063035921205098,0.19505271509301847,0.0022634022538659784,0.0030780575160644684,0.00081465526219849,0.210496409609536,0.33858632676709155,0.12808991715755555,0.0022634022538659784,0.0030780575160644684,0.00081465526219849,110766.37949969326,192184.67713051723,81418.29763082397
1371,2018-11-30 06:00:00+00:00,0.218051565240103,0.3962773987850625,0.17822583354495952,0.0,0.0,0.0,0.1499104511025708,0.28412341799683727,0.13421296689426646,0.0,0.0,0.0,78564.2267418787,109066.00785052277,30501.781108644078
1372,2018-10-26 05:00:00+00:00,0.21997516875804357,0.3723937535047324,0.15241858474668885,0.003491669345365771,0.0,-0.003491669345365771,0.12220842708780198,0.23274609594045775,0.11053766885265577,0.003491669345365771,0.0,-0.003491669345365771,60433.81302959076,138968.03896412853,78534.22593453777
1373,2018-10-01 05:00:00+00:00,0.23287853192543365,0.3319480076871373,0.09906947576170363,0.0,0.0,0.0,0.17123421465105415,0.13485387812289953,-0.036380336528154616,0.0,0.0,0.0,73051.94065443272,87406.05977411933,14354.119119686613
1374,2018-10-01 05:00:00+00:00,0.2534171872495092,0.36153323746704025,0.10811605021753107,0.002879740764198968,0.0,-0.002879740764198968,0.1439870382099484,0.19281772664908814,0.048830688439139736,0.002879740764198968,0.0,-0.002879740764198968,75008.60768509052,116486.00911188037,41477.401426789846
1375,2018-10-01 05:00:00+00:00,0.29927962581511536,0.43031760836483235,0.131037982549717,0.0,0.0,0.0,0.23277304230064527,0.43031760836483235,0.19754456606418708,0.0,0.0,0.0,98329.98372614401,420850.620980806,322520.637254662
1378,2018-09-11 05:00:00+00:00,0.25076881266717205,0.3546520822835789,0.10388326961640687,0.0,0.016120549194708133,0.016120549194708133,0.12538440633358602,0.16120549194708134,0.03582108561349531,0.0,0.016120549194708133,0.016120549194708133,68287.48229942929,135638.30092427423,67350.81862484493
1379,2018-10-22 05:00:00+00:00,0.2620065644605533,0.367910287636963,0.10590372317640967,0.0023186421633677287,0.00413382345659509,0.0018151812932273611,0.19476594172288922,0.22736029011272993,0.03259434838984071,0.0023186421633677287,0.00413382345659509,0.0018151812932273611,95630.0773859386,125907.99484097323,30277.917455034636
1380,2018-10-08 05:00:00+00:00,0.22579864098376703,0.3876566184759036,0.16185797749213657,0.005644966024594175,0.007911359560732726,0.0022663935361385504,0.12418925254107187,0.19778398901831815,0.07359473647724628,0.005644966024594175,0.007911359560732726,0.0022663935361385504,75083.69309312713,117618.18258941344,42534.4894962863
1381,2021-11-12 06:00:00+00:00,0.1442616053681133,0.8526181760305586,0.7083565706624453,0.0,0.0,0.0,0.062722437116571,0.7751074327550532,0.7123849956384822,0.0,0.0,0.0,32847.740317948235,405226.16584434186,372378.42552639364
1382,2021-11-12 06:00:00+00:00,0.18793273180877784,0.927152005286593,0.7392192734778151,0.0009515581357406474,0.007662413266831348,0.006710855131090701,0.12013421463725674,0.5210441021445317,0.40090988750727496,0.0009515581357406474,0.007662413266831348,0.006710855131090701,71335.93454113699,299117.62669729535,227781.69215615836
1383,2021-11-12 06:00:00+00:00,0.18829284694350257,0.9927482027533989,0.8044553558098964,0.00113292928365525,0.008342421871877302,0.007209492588222052,0.11623854450302866,0.5839695310314111,0.46773098652838246,0.0013595151403863002,0.008342421871877302,0.006982906731491002,74499.39042045866,324019.6655037144,249520.27508325575
1386,2019-03-22 05:00:00+00:00,0.25934380042284066,0.3248712152095764,0.06552741478673574,0.0,0.0,0.0,0.2194447542039421,0.3248712152095764,0.1054264610056343,0.0,0.0,0.0,68426.86426541104,92263.42511951968,23836.56085410864
1387,2020-06-16 05:00:00+00:00,0.21488980952614417,0.5061639287467159,0.2912741192205717,0.0,0.0,0.0,0.18419126530812358,0.3479877010133672,0.1637964357052436,0.0,0.0,0.0,78557.57465391471,132709.85506827958,54152.28041436487
1388,2020-06-16 05:00:00+00:00,0.16737631985946957,NA,NA,0.0,NA,NA,0.16737631985946957,NA,NA,0.0,NA,NA,38998.68252725641,NA,NA
1390,2017-12-18 06:00:00+00:00,0.2529705069748884,0.3349078938468129,0.08193738687192453,0.0,0.0027451466708755157,0.0027451466708755157,0.17109116413760567,0.20725857365110145,0.036167409513495785,0.0,0.0027451466708755157,0.0027451466708755157,88100.95081317236,114001.82352145386,25900.872708281502
1391,2018-08-14 05:00:00+00:00,0.23547490777723473,0.3315812374858498,0.09610632970861505,0.0,0.002195902235005628,0.002195902235005628,0.20639234944618182,0.2942508994907541,0.0878585500445723,0.0,0.002195902235005628,0.002195902235005628,97102.90967921386,130781.34941023016,33678.439731016304
1392,2017-12-18 06:00:00+00:00,0.2565330396762257,0.34055437354004553,0.08402133386381982,0.0,0.0,0.0,0.148852504503489,0.18839178110725924,0.03953927660377024,0.0,0.0,0.0,78236.24295212103,155908.6905417268,77672.44758960577
1393,2019-08-21 05:00:00+00:00,0.18152987779082735,0.32926417007850356,0.1477342922876762,0.0,0.0,0.0,0.10373135873761563,0.16463208503925178,0.06090072630163615,0.0,0.0,0.0,45330.603768338035,67746.10299365211,22415.499225314074
1396,2019-03-14 05:00:00+00:00,0.22058141583058632,0.4010247495310856,0.18044333370049925,0.0,0.0,0.0,0.19694769270588067,0.32081979962486845,0.12387210691898778,0.0,0.0,0.0,101191.72451228148,163136.8681092456,61945.14359696413
1397,2020-08-17 05:00:00+00:00,0.1723792106660374,NA,NA,0.0,NA,NA,0.11491947377735826,NA,NA,0.0,NA,NA,32637.130552769744,NA,NA
1398,2020-04-13 05:00:00+00:00,0.1912905770016117,0.4349077197856718,0.24361714278406008,0.0,0.0,0.0,0.09564528850080585,0.25369616987497523,0.1580508813741694,0.0,0.0,0.0,57974.70844413132,103471.79499900775,45497.08655487643
1402,2021-08-01 05:00:00+00:00,0.15621440964768893,0.731665643795262,0.575451234147573,0.0002629872216291059,0.0,-0.0002629872216291059,0.12307801972242158,0.5595090217257886,0.43643100200336704,0.0002629872216291059,0.0,-0.0002629872216291059,55695.95977105531,235531.77856879833,179835.818797743
1403,2018-07-17 05:00:00+00:00,0.22697496180834262,0.5229374217025592,0.29596245989421655,0.0,0.0,0.0,0.15131664120556174,0.0,-0.15131664120556174,0.0,0.0,0.0,62266.797856088655,62229.55318260454,-37.24467348411417
1404,2018-07-17 05:00:00+00:00,0.22697496180834262,1.2984743001036885,1.071499338295346,0.0,0.0,0.0,0.15131664120556174,0.0,-0.15131664120556174,0.0,0.0,0.0,62266.797856088655,165555.47326322028,103288.67540713162
1405,2018-07-17 05:00:00+00:00,0.2843057762786625,0.41327613030974497,0.12897035403108248,0.0,0.0,0.0,0.2843057762786625,0.0,-0.2843057762786625,0.0,0.0,0.0,109742.02964356371,47423.435953043234,-62318.59369052048
1406,2018-07-17 05:00:00+00:00,0.22697496180834262,0.5229374217025592,0.29596245989421655,0.0,0.0,0.0,0.15131664120556174,0.0,-0.15131664120556174,0.0,0.0,0.0,62266.797856088655,62229.55318260454,-37.24467348411417
1407,2018-05-01 05:00:00+00:00,0.28109668109668107,0.31020205952086066,0.029105378424179595,0.0,0.0,0.0,0.4216450216450216,0.10340068650695354,-0.31824433513806805,0.0,0.0,0.0,138861.76046176045,71553.27506281185,-67308.4853989486
1408,2018-05-01 05:00:00+00:00,0.31686246159407194,0.5300840539396505,0.21322159234557858,0.0,0.0,0.0,0.31686246159407194,0.3975630404547379,0.08070057886066595,0.0,0.0,0.0,89988.93909271642,160217.90530325938,70228.96621054296
1409,2018-05-01 05:00:00+00:00,0.2303785384926452,0.32685032481966414,0.09647178632701894,0.007431565757827264,0.0,-0.007431565757827264,0.22294697273481792,0.1759963287490499,-0.04695064398576801,0.007431565757827264,0.0,-0.007431565757827264,102912.32261439195,127974.47333323772,25062.150718845776
1411,2018-09-13 05:00:00+00:00,0.20126979520350613,0.3321687596153118,0.13089896441180565,0.0,0.0,0.0,0.22542217062792685,0.22144583974354118,-0.003976330884385676,0.0,0.0,0.0,121695.76897184794,85478.09414100689,-36217.674830841046
1413,2018-09-13 05:00:00+00:00,0.28441646929041886,0.3297911999589583,0.04537473066853942,0.0,0.0,0.0,0.12189277255303667,0.26982916360278403,0.14793639104974737,0.0,0.0,0.0,59483.673005881894,248332.77356909556,188849.10056321367
1414,2018-09-13 05:00:00+00:00,0.19304883258970848,0.5692577440093513,0.37620891141964274,0.0,0.0,0.0,0.03860976651794169,0.18975258133645043,0.15114281481850872,0.0,0.0,0.0,32625.252707660733,107115.33216442626,74490.07945676552
1415,2018-09-13 05:00:00+00:00,0.20207003065858326,0.45916924205122833,0.2570992113926451,0.0,0.0,0.0,0.10103501532929163,0.6122256560683044,0.5111906407390128,0.0,0.0,0.0,45869.8969594984,173872.08632339846,128002.18936390005
1416,2018-09-13 05:00:00+00:00,0.2046211510624944,0.31490552834149754,0.11028437727900314,0.0,0.0,0.0,0.1310495012422717,0.25192442267319803,0.12087492143092635,0.0,0.0,0.0,62034.69548278904,110620.01399580126,48585.31851301222
1417,2018-09-13 05:00:00+00:00,0.1987259413751672,0.3644148825607981,0.16568894118563093,0.0,0.0,0.0,0.0993629706875836,0.5466223238411972,0.44725935315361365,0.0,0.0,0.0,51022.88544807418,145948.16046559965,94925.27501752548
1418,2018-09-13 05:00:00+00:00,0.20207003065858326,0.45916924205122833,0.2570992113926451,0.0,0.0,0.0,0.10103501532929163,0.6122256560683044,0.5111906407390128,0.0,0.0,0.0,45869.8969594984,173872.08632339846,128002.18936390005
1419,2018-09-13 05:00:00+00:00,0.2777126564232536,NA,NA,0.0,NA,NA,0.2777126564232536,NA,NA,0.0,NA,NA,78870.39442420403,NA,NA
1421,2021-01-31 06:00:00+00:00,0.27961722488038276,0.6518247523869011,0.3722075275065183,0.0,0.0,0.0,0.20971291866028707,0.6518247523869011,0.442111833726614,0.0,0.0,0.0,222924.83253588516,218361.29204961186,-4563.540486273298
1423,2018-09-13 05:00:00+00:00,0.23462467011760677,0.37755189938840555,0.1429272292707988,0.0,0.0,0.0,0.10949151272154982,0.09438797484710139,-0.01510353787444843,0.0,0.0,0.0,45454.619424117685,58095.798518390904,12641.179094273219
1424,2018-09-13 05:00:00+00:00,0.2406022702766287,0.3737369430824984,0.13313467280586969,0.0,0.0,0.0,0.10311525868998372,0.12457898102749947,0.021463722337515742,0.0,0.0,0.0,45937.84774638775,67148.07077382221,21210.223027434462
1425,2018-09-13 05:00:00+00:00,0.2406022702766287,0.3737369430824984,0.13313467280586969,0.0,0.0,0.0,0.10311525868998372,0.12457898102749947,0.021463722337515742,0.0,0.0,0.0,45937.84774638775,67148.07077382221,21210.223027434462
