,moped_component_id,substantial_completion_date_x,pre_annualized_crash_rate,post_annualized_crash_rate
1140,1384,2018-12-03 06:00:00+00:00,0.30842305256491453,0.5781559161060545
1141,1386,2019-03-22 05:00:00+00:00,0.2296772570781783,0.3248712152095764
1142,1387,2020-06-16 05:00:00+00:00,0.20222578364492766,0.5015768729784219
1143,1390,2017-12-18 06:00:00+00:00,0.24217415106663787,0.33558806523409346
1144,1391,2018-08-14 05:00:00+00:00,0.2373822688575615,0.34818786301682353
1145,1392,2017-12-18 06:00:00+00:00,0.29308679690835987,0.33097160078109383
1146,1393,2019-08-21 05:00:00+00:00,0.22005773816995106,0.358278497568153
1147,1394,2020-06-25 05:00:00+00:00,0.16865151894107008,
1148,1395,2018-08-31 05:00:00+00:00,0.6220109274107712,0.5025511666571117
1149,1396,2019-03-14 05:00:00+00:00,0.22652762727427778,0.3765348387690608
1150,1397,2020-08-17 05:00:00+00:00,0.2602963446862844,0.3001746395918227
1151,1398,2020-04-13 05:00:00+00:00,0.1849919391609693,0.437178948268369
1152,1402,2021-08-01 05:00:00+00:00,0.15862711060488396,0.6981584559701954
1153,1403,2018-07-17 05:00:00+00:00,0.3306302568551277,
1154,1404,2018-07-17 05:00:00+00:00,0.24185404883432196,
1155,1405,2018-07-17 05:00:00+00:00,0.24185404883432196,
1156,1406,2018-07-17 05:00:00+00:00,0.3306302568551277,
1157,1409,2018-05-01 05:00:00+00:00,0.20621515443788374,0.3746954477452447
1158,1410,2018-11-19 06:00:00+00:00,0.2281574486571207,0.3584556363474149
1159,1411,2018-09-13 05:00:00+00:00,0.2032722586800322,0.32250843768697973
1160,1413,2018-09-13 05:00:00+00:00,0.25584748384535905,0.5034169873083328
1161,1414,2018-09-13 05:00:00+00:00,0.33299145299145294,0.4156275188469015
1162,1415,2018-09-13 05:00:00+00:00,0.259741029363833,0.42968481937159947
1163,1416,2018-09-13 05:00:00+00:00,0.25502574695255,0.42968481937159947
1164,1417,2018-09-13 05:00:00+00:00,0.28275512208853953,0.42968481937159947
1165,1418,2018-09-13 05:00:00+00:00,0.21194272461654914,0.33454184635347095
1166,1419,2018-09-13 05:00:00+00:00,0.20950341524504204,
1167,1421,2021-01-31 06:00:00+00:00,0.19153433951133178,0.715252125150207
1168,1422,2018-09-13 05:00:00+00:00,0.15521362678612532,
1169,1423,2018-09-13 05:00:00+00:00,0.21721138835889683,0.3665593388505153
1170,1425,2018-09-13 05:00:00+00:00,0.23462467011760677,0.3665593388505153
1171,1426,2018-09-13 05:00:00+00:00,0.3317815374134212,0.33005378383936096
1172,1427,2018-09-13 05:00:00+00:00,0.9360384410037373,0.36075558664965635
1173,1428,2018-09-13 05:00:00+00:00,0.3317815374134212,0.32712617084001944
1174,1429,2018-09-13 05:00:00+00:00,0.9360384410037373,0.36075558664965635
1175,1430,2018-05-15 05:00:00+00:00,0.5071449233439399,0.3309048356045449
1176,1431,2023-09-01 05:00:00+00:00,0.1340712742430005,2.8250080567193034
1177,1432,2019-06-11 05:00:00+00:00,0.25273314155722365,0.40649003970501474
1178,1434,2050-01-01 06:00:00+00:00,0.028295126627631485,
1179,1436,2018-10-09 05:00:00+00:00,0.26141412936510305,
1180,1438,2019-06-01 05:00:00+00:00,0.36676289694991837,0.31303788879762884
1181,1439,2019-05-01 05:00:00+00:00,0.17881548510278933,0.5902632819338766
1182,1440,2019-05-01 05:00:00+00:00,0.3200554967322648,0.5441003041400285
1183,1441,2019-03-14 05:00:00+00:00,0.2151366262375387,0.39588781823631086
