moped_component_id,pre_completion,post_completion
519,92.0,157.0
520,14.0,118.0
521,128.0,1721.0
522,4.0,77.0
523,45.0,22.0
524,1.0,0.0
525,24.0,18.0
526,64.0,27.0
527,77.0,30.0
528,70.0,39.0
529,10.0,89.0
530,25.0,140.0
531,15.0,94.0
532,6.0,62.0
533,45.0,56.0
534,7.0,4.0
535,15.0,14.0
536,2.0,13.0
537,84.0,69.0
538,1.0,0.0
539,2.0,18.0
540,23.0,22.0
541,1.0,14.0
542,7.0,143.0
543,5.0,59.0
544,27.0,126.0
545,84.0,591.0
546,37.0,34.0
547,95.0,72.0
548,45.0,326.0
549,14.0,140.0
550,40.0,38.0
551,16.0,116.0
552,15.0,106.0
553,354.0,230.0
554,27.0,178.0
555,47.0,222.0
556,78.0,600.0
557,64.0,353.0
558,23.0,131.0
559,139.0,752.0
560,56.0,582.0
561,60.0,380.0
562,74.0,444.0
563,19.0,103.0
564,33.0,360.0
565,36.0,163.0
566,18.0,77.0
567,173.0,761.0
568,11.0,111.0
569,22.0,34.0
570,3.0,19.0
571,16.0,71.0
572,2.0,12.0
573,1.0,16.0
574,1.0,22.0
575,15.0,142.0
576,30.0,121.0
577,31.0,204.0
578,134.0,572.0
579,52.0,427.0
580,29.0,117.0
581,19.0,98.0
582,10.0,33.0
583,77.0,289.0
584,48.0,100.0
585,76.0,88.0
586,59.0,50.0
587,91.0,349.0
588,13.0,67.0
589,47.0,288.0
590,7.0,72.0
591,2.0,18.0
592,0.0,4.0
593,251.0,2074.0
594,52.0,66.0
595,14.0,49.0
596,151.0,159.0
597,25.0,15.0
598,157.0,161.0
599,12.0,28.0
600,109.0,163.0
601,2.0,2.0
602,8.0,6.0
603,388.0,736.0
604,31.0,90.0
605,9.0,10.0
606,6.0,47.0
607,60.0,116.0
608,29.0,122.0
609,10.0,22.0
610,45.0,331.0
611,11.0,50.0
612,20.0,234.0
613,45.0,155.0
614,1.0,8.0
615,70.0,349.0
616,82.0,556.0
617,23.0,91.0
618,11.0,0.0
619,42.0,12.0
620,2.0,0.0
623,661.0,324.0
624,4.0,4.0
625,83.0,122.0
626,1.0,0.0
627,43.0,77.0
628,1.0,0.0
629,1.0,1.0
630,1.0,1.0
631,77.0,11.0
632,0.0,1.0
633,127.0,16.0
634,74.0,5.0
635,189.0,36.0
636,184.0,12.0
637,33.0,2.0
638,1.0,0.0
639,18.0,2.0
640,1.0,0.0
641,85.0,11.0
642,177.0,34.0
643,6.0,23.0
644,179.0,310.0
645,244.0,209.0
646,298.0,181.0
647,415.0,654.0
649,5.0,27.0
650,244.0,374.0
651,321.0,339.0
652,320.0,527.0
653,21.0,12.0
656,71.0,52.0
657,203.0,825.0
658,66.0,182.0
659,177.0,622.0
660,25.0,96.0
661,36.0,43.0
662,6.0,8.0
663,2.0,11.0
664,46.0,118.0
665,42.0,118.0
666,80.0,156.0
667,63.0,202.0
668,23.0,135.0
669,97.0,254.0
670,18.0,72.0
671,85.0,184.0
672,21.0,58.0
673,29.0,69.0
674,24.0,90.0
675,12.0,44.0
676,43.0,15.0
679,1.0,0.0
680,1.0,0.0
681,1.0,0.0
682,80.0,16.0
683,214.0,48.0
684,7.0,1.0
685,2.0,2.0
686,1.0,2.0
687,125.0,21.0
688,673.0,121.0
689,17.0,94.0
690,169.0,586.0
691,2.0,9.0
692,1.0,5.0
